atl_id	date	time	lat	lon	domain_latMin	domain_latMax	domain_lonMin	domain_lonMax
atl_001	1985-01-03	00:00	45	335	30	60	305	425
atl_002	1985-01-08	06:00	40	297.5	30	60	267.5	387.5
atl_003	1985-01-08	18:00	45	307.5	30	60	277.5	397.5
atl_004	1985-01-18	18:00	45	332.5	30	60	302.5	422.5
atl_005	1985-01-21	06:00	45	297.5	30	60	267.5	387.5
atl_006	1985-02-03	18:00	42.5	307.5	30	60	277.5	397.5
atl_007	1985-02-25	06:00	45	287.5	30	60	257.5	377.5
atl_008	1985-02-26	06:00	45	317.5	30	60	287.5	407.5
atl_009	1985-03-06	00:00	45	302.5	30	60	272.5	392.5
atl_010	1985-03-09	00:00	45	300	30	60	270	390
atl_011	1985-03-18	06:00	42.5	300	30	60	270	390
atl_012	1985-03-26	00:00	45	315	30	60	285	405
atl_013	1985-03-28	06:00	40	317.5	30	60	287.5	407.5
atl_014	1985-11-01	18:00	45	302.5	30	60	272.5	392.5
atl_015	1985-11-07	06:00	42.5	297.5	30	60	267.5	387.5
atl_016	1985-11-20	18:00	42.5	317.5	30	60	287.5	407.5
atl_017	1985-11-24	06:00	42.5	335	30	60	305	425
atl_018	1985-12-07	06:00	42.5	307.5	30	60	277.5	397.5
atl_019	1985-12-13	06:00	40	325	30	60	295	415
atl_020	1985-12-13	06:00	42.5	305	30	60	275	395
atl_021	1985-12-14	18:00	45	297.5	30	60	267.5	387.5
atl_022	1986-01-04	00:00	42.5	292.5	30	60	262.5	382.5
atl_023	1986-01-05	18:00	40	292.5	30	60	262.5	382.5
atl_024	1986-01-13	18:00	42.5	317.5	30	60	287.5	407.5
atl_025	1986-01-31	06:00	45	302.5	30	60	272.5	392.5
atl_026	1986-02-03	06:00	45	300	30	60	270	390
atl_027	1986-02-06	00:00	45	300	30	60	270	390
atl_028	1986-02-12	18:00	42.5	310	30	60	280	400
atl_029	1986-02-15	18:00	42.5	300	30	60	270	390
atl_030	1986-02-22	06:00	42.5	292.5	30	60	262.5	382.5
atl_031	1986-03-06	06:00	42.5	302.5	30	60	272.5	392.5
atl_032	1986-03-07	06:00	40	292.5	30	60	262.5	382.5
atl_033	1986-03-15	06:00	40	285	30	60	255	375
atl_034	1986-11-07	06:00	42.5	305	30	60	275	395
atl_035	1986-11-17	06:00	42.5	302.5	30	60	272.5	392.5
atl_036	1986-11-19	06:00	40	287.5	30	60	257.5	377.5
atl_037	1986-11-21	06:00	40	287.5	30	60	257.5	377.5
atl_038	1986-11-27	06:00	45	290	30	60	260	380
atl_039	1986-11-30	18:00	45	315	30	60	285	405
atl_040	1986-12-03	18:00	42.5	290	30	60	260	380
atl_041	1986-12-07	18:00	45	345	30	60	315	435
atl_042	1986-12-19	06:00	40	290	30	60	260	380
atl_043	1986-12-31	00:00	40	290	30	60	260	380
atl_044	1987-01-04	00:00	45	302.5	30	60	272.5	392.5
atl_045	1987-01-08	06:00	45	300	30	60	270	390
atl_046	1987-01-20	06:00	40	295	30	60	265	385
