wnp_id	date	time	lat	lon	domain_latMin	domain_latMax	domain_lonMin	domain_lonMax
wnp_001	1985-01-05	06:00	40	177.5	30	60	147.5	267.5
wnp_002	1985-01-05	06:00	42.5	162.5	30	60	132.5	252.5
wnp_003	1985-01-14	18:00	42.5	175	30	60	145	265
wnp_004	1985-01-15	18:00	42.5	140	30	60	110	230
wnp_005	1985-01-16	00:00	40	190	30	60	160	280
wnp_006	1985-01-20	06:00	42.5	140	30	60	110	230
wnp_007	1985-01-27	18:00	40	137.5	30	60	107.5	227.5
wnp_008	1985-02-10	06:00	45	180	30	60	150	270
wnp_009	1985-02-14	00:00	40	152.5	30	60	122.5	242.5
wnp_010	1985-02-16	06:00	42.5	177.5	30	60	147.5	267.5
wnp_011	1985-02-18	00:00	40	172.5	30	60	142.5	262.5
wnp_012	1985-02-19	00:00	45	187.5	30	60	157.5	277.5
wnp_013	1985-03-09	06:00	45	152.5	30	60	122.5	242.5
wnp_014	1985-03-15	06:00	40	162.5	30	60	132.5	252.5
wnp_015	1985-03-30	06:00	40	152.5	30	60	122.5	242.5
wnp_016	1985-11-02	06:00	40	150	30	60	120	240
wnp_017	1985-11-10	18:00	40	175	30	60	145	265
wnp_018	1985-11-17	18:00	45	192.5	30	60	162.5	282.5
wnp_019	1985-11-18	00:00	42.5	155	30	60	125	245
wnp_020	1985-11-24	00:00	45	167.5	30	60	137.5	257.5
wnp_021	1985-11-28	06:00	45	180	30	60	150	270
wnp_022	1985-12-06	06:00	45	180	30	60	150	270
wnp_023	1985-12-09	06:00	42.5	150	30	60	120	240
wnp_024	1985-12-13	06:00	40	187.5	30	60	157.5	277.5
wnp_025	1985-12-15	06:00	42.5	157.5	30	60	127.5	247.5
wnp_026	1986-01-03	18:00	42.5	135	30	60	105	225
wnp_027	1986-01-09	18:00	40	185	30	60	155	275
wnp_028	1986-01-13	06:00	45	175	30	60	145	265
wnp_029	1986-01-14	00:00	42.5	147.5	30	60	117.5	237.5
wnp_030	1986-01-21	06:00	42.5	157.5	30	60	127.5	247.5
wnp_031	1986-01-26	00:00	42.5	187.5	30	60	157.5	277.5
wnp_032	1986-02-04	06:00	40	170	30	60	140	260
wnp_033	1986-02-20	00:00	42.5	192.5	30	60	162.5	282.5
wnp_034	1986-02-24	18:00	45	142.5	30	60	112.5	232.5
wnp_035	1986-03-06	00:00	42.5	195	30	60	165	285
wnp_036	1986-03-10	00:00	42.5	135	30	60	105	225
wnp_037	1986-03-12	18:00	40	190	30	60	160	280
wnp_038	1986-03-15	18:00	45	137.5	30	60	107.5	227.5
wnp_039	1986-03-31	06:00	42.5	147.5	30	60	117.5	237.5
wnp_040	1986-11-06	18:00	42.5	172.5	30	60	142.5	262.5
wnp_041	1986-11-21	00:00	40	172.5	30	60	142.5	262.5
wnp_042	1986-11-23	00:00	40	170	30	60	140	260
wnp_043	1986-11-26	06:00	45	167.5	30	60	137.5	257.5
wnp_044	1986-12-04	18:00	42.5	150	30	60	120	240
wnp_045	1986-12-07	18:00	40	155	30	60	125	245
wnp_046	1986-12-10	18:00	42.5	195	30	60	165	285
wnp_047	1986-12-11	00:00	42.5	147.5	30	60	117.5	237.5
wnp_048	1986-12-13	06:00	40	165	30	60	135	255
wnp_049	1986-12-15	18:00	45	165	30	60	135	255
wnp_050	1986-12-22	06:00	42.5	160	30	60	130	250
wnp_051	1986-12-23	06:00	40	182.5	30	60	152.5	272.5
